Candidate_ID,Job_Category,Years_Experience,Education_Level,Skill_Fit_Score,AI_Score,Human_Score,AI_Decision,Human_Decision,Final_Decision,Score_Divergence,Decision_Agreement
20002,Software Engineer,11,PhD,60.09,44.05,49.92,0,0,0,-5.87,1
20005,Software Engineer,14,Bachelors,68.62,55.26,71.72,0,1,1,-16.46,0
20010,Software Engineer,10,Masters,79.18,74.29,79.42,1,1,1,-5.13,1
20011,Software Engineer,8,Associate,20.39,29.49,32.59,0,0,0,-3.1,1
20012,Software Engineer,1,Masters,17.76,24.46,34.43,0,0,0,-9.97,1
20017,Software Engineer,10,Bachelors,24.05,12.88,32.39,0,0,0,-19.51,1
20019,Software Engineer,17,PhD,83.5,84.17,75.61,1,1,1,8.56,1
20023,Software Engineer,15,Masters,58.22,44.25,46.72,0,0,0,-2.47,1
20030,Software Engineer,20,Bachelors,70.71,74.36,77.35,1,1,1,-2.99,1
20034,Software Engineer,10,Masters,40.16,31.67,43.97,0,0,0,-12.3,1
20035,Software Engineer,17,Masters,59.04,56.59,64.61,0,0,0,-8.02,1
20038,Software Engineer,10,Bachelors,42.89,23.24,42.71,0,0,0,-19.47,1
20044,Software Engineer,8,PhD,48.16,38.45,63.38,0,0,0,-24.93,1
20049,Software Engineer,2,Bachelors,26.02,26.24,16.52,0,0,0,9.72,1
20061,Software Engineer,8,Bachelors,23.08,35.72,26.48,0,0,0,9.24,1
20065,Software Engineer,7,Masters,29.23,14.54,36.5,0,0,0,-21.96,1
20071,Software Engineer,9,Bachelors,35.0,26.78,26.44,0,0,0,0.34,1
20075,Software Engineer,1,Bachelors,15.63,0.19,14.23,0,0,0,-14.04,1
20079,Software Engineer,0,Masters,29.51,15.52,17.66,0,0,0,-2.14,1
20080,Software Engineer,11,Masters,61.28,51.72,61.8,0,0,0,-10.08,1
20082,Software Engineer,16,Bachelors,58.24,62.29,73.03,0,1,1,-10.74,0
20089,Software Engineer,3,Bachelors,17.67,22.3,15.56,0,0,0,6.74,1
20093,Software Engineer,13,Bachelors,59.7,43.3,70.81,0,1,1,-27.51,0
20095,Software Engineer,7,Masters,36.94,23.58,20.62,0,0,0,2.96,1
20100,Software Engineer,8,Associate,16.19,25.54,13.1,0,0,0,12.44,1
20103,Software Engineer,20,Bachelors,74.15,76.49,86.15,1,1,1,-9.66,1
20105,Software Engineer,6,Bachelors,25.03,31.84,22.46,0,0,0,9.38,1
20106,Software Engineer,5,Bachelors,24.2,15.4,25.08,0,0,0,-9.68,1
20112,Software Engineer,15,Bachelors,46.49,50.48,67.4,0,0,0,-16.92,1
20113,Software Engineer,6,Bachelors,22.91,7.82,25.83,0,0,0,-18.01,1
20117,Software Engineer,3,Bachelors,32.43,23.27,29.5,0,0,0,-6.23,1
20131,Software Engineer,7,Bachelors,38.79,33.39,52.49,0,0,0,-19.1,1
20134,Software Engineer,0,Bachelors,14.64,15.73,0.0,0,0,0,15.73,1
